S.No.	Company Name	Industry	NSE Sector	Symbol
255	Inventurus Knowledge Solutions Ltd.	Information Technology	Information Technology	IKS
256	Ipca Laboratories Ltd.	Healthcare	Healthcare	IPCALAB
257	J.K. Cement Ltd.	Construction Materials	Construction Materials	JKCEMENT
258	JBM Auto Ltd.	Automobile and Auto Components	Automobile and Auto Components	JBMA
259	JK Tyre & Industries Ltd.	Automobile and Auto Components	Automobile and Auto Components	JKTYRE
260	JM Financial Ltd.	Financial Services	Financial Services	JMFINANCIL
261	JSW Cement Ltd.	Construction Materials	Construction Materials	JSWCEMENT
262	JSW Dulux Ltd.	Consumer Durables	Consumer Durables	JSWDULUX
263	JSW Energy Ltd.	Power	Power	JSWENERGY
264	JSW Infrastructure Ltd.	Services	Services	JSWINFRA
265	JSW Steel Ltd.	Metals & Mining	Metals & Mining	JSWSTEEL
266	Jain Resource Recycling Ltd.	Metals & Mining	Metals & Mining	JAINREC
267	Jaiprakash Power Ventures Ltd.	Power	Power	JPPOWER
268	Jammu & Kashmir Bank Ltd.	Financial Services	Financial Services	J&KBANK
269	Jindal Saw Ltd.	Capital Goods	Capital Goods	JINDALSAW
270	Jindal Stainless Ltd.	Metals & Mining	Metals & Mining	JSL
271	Jindal Steel Ltd.	Metals & Mining	Metals & Mining	JINDALSTEL
272	Jio Financial Services Ltd.	Financial Services	Financial Services	JIOFIN
273	Jubilant Foodworks Ltd.	Consumer Services	Consumer Services	JUBLFOOD
274	Jubilant Ingrevia Ltd.	Chemicals	Chemicals	JUBLINGREA
275	Jubilant Pharmova Ltd.	Healthcare	Healthcare	JUBLPHARMA
276	Jupiter Wagons Ltd.	Capital Goods	Capital Goods	JWL
277	Jyoti CNC Automation Ltd.	Capital Goods	Capital Goods	JYOTICNC
278	K.P.R. Mill Ltd.	Textiles	Textiles	KPRMILL
279	KEI Industries Ltd.	Capital Goods	Capital Goods	KEI
280	KPIT Technologies Ltd.	Information Technology	Information Technology	KPITTECH
281	Kajaria Ceramics Ltd.	Consumer Durables	Consumer Durables	KAJARIACER
282	Kalpataru Projects International Ltd.	Construction	Construction	KPIL
283	Kalyan Jewellers India Ltd.	Consumer Durables	Consumer Durables	KALYANKJIL
284	Karur Vysya Bank Ltd.	Financial Services	Financial Services	KARURVYSYA
285	Kaynes Technology India Ltd.	Capital Goods	Capital Goods	KAYNES
286	Kec International Ltd.	Construction	Construction	KEC
287	Kfin Technologies Ltd.	Financial Services	Financial Services	KFINTECH
288	Kirloskar Oil Eng Ltd.	Capital Goods	Capital Goods	KIRLOSENG
289	Kotak Mahindra Bank Ltd.	Financial Services	Financial Services	KOTAKBANK
290	Krishna Institute of Medical Sciences Ltd.	Healthcare	Healthcare	KIMS
291	L&T Finance Ltd.	Financial Services	Financial Services	LTF
292	L&T Technology Services Ltd.	Information Technology	Information Technology	LTTS
293	LG Electronics India Ltd.	Consumer Durables	Consumer Durables	LGEINDIA
294	LIC Housing Finance Ltd.	Financial Services	Financial Services	LICHSGFIN
295	LT Foods Ltd.	Fast Moving Consumer Goods	Fast Moving Consumer Goods	LTFOODS
296	LTM Ltd.	Information Technology	Information Technology	LTM
297	Larsen & Toubro Ltd.	Construction	Construction	LT
298	Latent View Analytics Ltd.	Information Technology	Information Technology	LATENTVIEW
299	Laurus Labs Ltd.	Healthcare	Healthcare	LAURUSLABS
300	Leela Palaces Hotels & Resorts Ltd.	Consumer Services	Consumer Services	THELEELA
301	Lemon Tree Hotels Ltd.	Consumer Services	Consumer Services	LEMONTREE
302	Lenskart Solutions Ltd.	Consumer Services	Consumer Services	LENSKART
303	Life Insurance Corporation of India	Financial Services	Financial Services	LICI
304	Linde India Ltd.	Chemicals	Chemicals	LINDEINDIA
305	Lloyds Metals And Energy Ltd.	Metals & Mining	Metals & Mining	LLOYDSME
306	Lodha Developers Ltd.	Realty	Realty	LODHA
307	Lupin Ltd.	Healthcare	Healthcare	LUPIN
308	MMTC Ltd.	Services	Services	MMTC
309	MRF Ltd.	Automobile and Auto Components	Automobile and Auto Components	MRF
310	Mahanagar Gas Ltd.	Oil Gas & Consumable Fuels	Oil Gas & Consumable Fuels	MGL
311	Mahindra & Mahindra Financial Services Ltd.	Financial Services	Financial Services	M&MFIN
312	Mahindra & Mahindra Ltd.	Automobile and Auto Components	Automobile and Auto Components	M&M
313	Manappuram Finance Ltd.	Financial Services	Financial Services	MANAPPURAM
314	Mangalore Refinery & Petrochemicals Ltd.	Oil Gas & Consumable Fuels	Oil Gas & Consumable Fuels	MRPL
315	Mankind Pharma Ltd.	Healthcare	Healthcare	MANKIND
316	Marico Ltd.	Fast Moving Consumer Goods	Fast Moving Consumer Goods	MARICO
317	Maruti Suzuki India Ltd.	Automobile and Auto Components	Automobile and Auto Components	MARUTI
318	Max Financial Services Ltd.	Financial Services	Financial Services	MFSL
319	Max Healthcare Institute Ltd.	Healthcare	Healthcare	MAXHEALTH
320	Mazagoan Dock Shipbuilders Ltd.	Capital Goods	Capital Goods	MAZDOCK
321	Meesho Ltd.	Consumer Services	Consumer Services	MEESHO
322	Minda Corporation Ltd.	Automobile and Auto Components	Automobile and Auto Components	MINDACORP
323	Motherson Sumi Wiring India Ltd.	Automobile and Auto Components	Automobile and Auto Components	MSUMI
324	Motilal Oswal Financial Services Ltd.	Financial Services	Financial Services	MOTILALOFS
325	MphasiS Ltd.	Information Technology	Information Technology	MPHASIS
326	Multi Commodity Exchange of India Ltd.	Financial Services	Financial Services	MCX
327	Muthoot Finance Ltd.	Financial Services	Financial Services	MUTHOOTFIN
328	NATCO Pharma Ltd.	Healthcare	Healthcare	NATCOPHARM
329	NBCC (India) Ltd.	Construction	Construction	NBCC
330	NCC Ltd.	Construction	Construction	NCC
331	NHPC Ltd.	Power	Power	NHPC
332	NLC India Ltd.	Power	Power	NLCINDIA
333	NMDC Ltd.	Metals & Mining	Metals & Mining	NMDC
334	NMDC Steel Ltd.	Metals & Mining	Metals & Mining	NSLNISP
335	NTPC Green Energy Ltd.	Power	Power	NTPCGREEN
336	NTPC Ltd.	Power	Power	NTPC
337	Narayana Hrudayalaya Ltd.	Healthcare	Healthcare	NH
338	National Aluminium Co. Ltd.	Metals & Mining	Metals & Mining	NATIONALUM
339	Nava Ltd.	Power	Power	NAVA
340	Navin Fluorine International Ltd.	Chemicals	Chemicals	NAVINFLUOR
341	Nestle India Ltd.	Fast Moving Consumer Goods	Fast Moving Consumer Goods	NESTLEIND
342	Netweb Technologies India Ltd.	Information Technology	Information Technology	NETWEB
343	Neuland Laboratories Ltd.	Healthcare	Healthcare	NEULANDLAB
344	Newgen Software Technologies Ltd.	Information Technology	Information Technology	NEWGEN
345	Nippon Life India Asset Management Ltd.	Financial Services	Financial Services	NAM-INDIA
346	Niva Bupa Health Insurance Company Ltd.	Financial Services	Financial Services	NIVABUPA
347	Nuvama Wealth Management Ltd.	Financial Services	Financial Services	NUVAMA
348	Nuvoco Vistas Corporation Ltd.	Construction Materials	Construction Materials	NUVOCO
349	Oberoi Realty Ltd.	Realty	Realty	OBEROIRLTY
350	Oil & Natural Gas Corporation Ltd.	Oil Gas & Consumable Fuels	Oil Gas & Consumable Fuels	ONGC
351	Oil India Ltd.	Oil Gas & Consumable Fuels	Oil Gas & Consumable Fuels	OIL
352	Ola Electric Mobility Ltd.	Automobile and Auto Components	Automobile and Auto Components	OLAELEC
353	Olectra Greentech Ltd.	Automobile and Auto Components	Automobile and Auto Components	OLECTRA
354	One 97 Communications Ltd.	Financial Services	Financial Services	PAYTM
355	Onesource Specialty Pharma Ltd.	Healthcare	Healthcare	ONESOURCE
356	Oracle Financial Services Software Ltd.	Information Technology	Information Technology	OFSS
357	PB Fintech Ltd.	Financial Services	Financial Services	POLICYBZR
358	PCBL Chemical Ltd.	Chemicals	Chemicals	PCBL
359	PG Electroplast Ltd.	Consumer Durables	Consumer Durables	PGEL
360	PI Industries Ltd.	Chemicals	Chemicals	PIIND
